loggingTime,loggingSample,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometerAccelerationY,accelerometerAccelerationZ,gyroTimestamp_sinceReboot,gyroRotationX,gyroRotationY,gyroRotationZ,magnetometerTimestamp_sinceReboot,magnetometerX,magnetometerY,magnetometerZ,motionTimestamp_sinceReboot,motionYaw,motionRoll,motionPitch,motionRotationRateX,motionRotationRateY,motionRotationRateZ,motionUserAccelerationX,motionUserAccelerationY,motionUserAccelerationZ,motionAttitudeReferenceFrame,motionQuaternionX,motionQuaternionY,motionQuaternionZ,motionQuaternionW,motionGravityX,motionGravityY,motionGravityZ,motionMagneticFieldX,motionMagneticFieldY,motionMagneticFieldZ,motionHeading,motionMagneticFieldCalibrationAccuracy
1616156991.880624,1,12118.06720175,0.5312042236328125,0.1927032470703125,-0.832275390625,12118.06219375,-0.004787564743310213,-0.06590311974287033,-0.0174008272588253,12118.05557175,61.8111572265625,144.1236724853516,-228.955078125,12118.05917575,0.3142794082264189,0.5564546982788889,-0.2092908033857974,-0.01897064223885536,-0.07586067914962769,-0.02459746412932873,0.01099550724029541,-0.02546955645084381,0.003363668918609619,2,-0.141946224698063,0.2540657973217406,0.1213173586544632,0.9489911223477669,0.5166534781455994,0.2077662348747253,-0.8306036591529846,60.93753814697266,5.771041870117188,-12.41232299804688,-1,2
1616156991.888443,2,12118.07727275,0.5059356689453125,0.2029876708984375,-0.830474853515625,12118.07223475,-0.01142203155905008,-0.09132831543684006,-0.01979447714984417,12118.05557175,61.8111572265625,144.1236724853516,-228.955078125,12118.06921575,0.3142015200070522,0.5555670150821949,-0.2096622606650693,-0.02237442880868912,-0.1101797670125961,-0.02250155620276928,0.01532912254333496,-0.01542641222476959,-0.001279056072235107,2,-0.1420571184182378,0.253617064973876,0.1212904407232882,0.9490978791705845,0.5158751606941223,0.2081295698881149,-0.8309963345527649,60.93753814697266,5.771041870117188,-12.41232299804688,-1,2
1616156991.88903,3,12118.08733116667,0.4906463623046875,0.2125091552734375,-0.826202392578125,12118.08227475,-0.02524889819324017,-0.07505693286657333,-0.04135835915803909,12118.05557175,61.8111572265625,144.1236724853516,-228.955078125,12118.07925675,0.3140890185872415,0.554498669279904,-0.2100933383835373,-0.03493028879165649,-0.1007988154888153,-0.04238549992442131,-0.009004116058349609,-0.005563601851463318,0.0009957551956176758,2,-0.1421807202605527,0.2530796732797873,0.1212515634311853,0.9492278502442094,0.5149398446083069,0.2085511833429337,-0.8314706683158875,60.98227691650391,5.974395751953125,-12.45367431640625,-1,2
1616156991.889542,4,12118.09737216667,0.4831390380859375,0.21527099609375,-0.8246307373046875,12118.09233316667,-0.03506264463067055,-0.07059720158576965,-0.05842256173491478,12118.05557175,61.8111572265625,144.1236724853516,-228.955078125,12118.08934516667,0.3138462975622891,0.5534985954683147,-0.2107007959292201,-0.04602501541376114,-0.09300348162651062,-0.06362980604171753,-0.02339494228363037,0.003363817930221558,0.005674898624420166,2,-0.1423750532014549,0.2525682355029583,0.1211211221365354,0.9493515149126162,0.5140413045883179,0.2091452479362488,-0.8318772315979004,60.98227691650391,5.974395751953125,-12.45367431640625,-1,2
1616156991.891807,5,12118.10741216667,0.475311279296875,0.2144317626953125,-0.8253021240234375,12118.10240416667,-0.04488704726099968,-0.05156359076499939,-0.06597315520048141,12118.05557175,61.8111572265625,144.1236724853516,-228.955078125,12118.09938616667,0.3135565450178919,0.5526731526806856,-0.2114982442391751,-0.05869550630450249,-0.07654169201850891,-0.07232484221458435,-0.03012770414352417,0.005345910787582397,0.007528364658355713,2,-0.1426634899308991,0.2521261150678602,0.1209291511083912,0.9494503070792417,0.5132668018341064,0.2099249958992004,-0.8321591019630432,60.97894668579102,5.944351196289062,-12.47793579101562,-1,2
1616156991.901017,6,12118.11745216667,0.4672393798828125,0.23236083984375,-0.8175811767578125,12118.11244416667,-0.02342196926474571,-0.002890328643843532,-0.05478335544466972,12118.11415316667,61.97514343261719,144.7525787353516,-228.9377136230469,12118.10942616667,0.3132893465748141,0.5521415698558935,-0.2123252852849617,-0.04539355263113976,-0.03947314620018005,-0.06373002380132675,-0.0374218225479126,0.00369812548160553,0.006981611251831055,2,-0.1429866392891004,0.2518193262377708,0.1207229377889521,0.9495092485067541,0.5127331018447876,0.2107335329055786,-0.8322836756706238,60.97894668579102,5.944351196289062,-12.47793579101562,-1,2
1616156991.911006,7,12118.12749216667,0.4709014892578125,0.2364349365234375,-0.8244781494140625,12118.12248416667,0.03231905773282051,0.02245763875544071,0.005222991574555635,12118.11415316667,61.97514343261719,144.7525787353516,-228.9377136230469,12118.11946616667,0.3130772257844078,0.5521796071783109,-0.2127091734422084,-0.004544861614704132,0.0044566560536623,-0.01869070157408714,-0.0454828143119812,0.02125197649002075,0.01461410522460938,2,-0.1431427409406722,0.2518184332526375,0.1205650662120365,0.9495060571969447,0.5127222537994385,0.2111087888479233,-0.8321952819824219,60.98693466186523,6.285995483398438,-12.42866516113281,-1,2
1616156991.926339,8,12118.13756316667,0.4972381591796875,0.24066162109375,-0.8405609130859375,12118.13252516667,0.1087539121508598,-0.02060168050229549,0.01801761612296104,12118.11415316667,61.97514343261719,144.7525787353516,-228.9377136230469,12118.12950716667,0.3129857195153903,0.5523180646489624,-0.2121760195541605,0.06986545771360397,-0.02483438700437546,0.01696209982037544,-0.04199498891830444,0.02584724128246307,0.007741808891296387,2,-0.1428888421464688,0.251938068804978,0.1205873432873329,0.9495097718291715,0.5128964781761169,0.2105876207351685,-0.8322199583053589,60.98693466186523,6.285995483398438,-12.42866516113281,-1,2
1616156991.931097,9,12118.14760316667,0.5277557373046875,0.27081298828125,-0.8490447998046875,12118.14256516667,0.176855206489563,-0.05073987692594528,-0.06762644648551941,12118.11415316667,61.97514343261719,144.7525787353516,-228.9377136230469,12118.13954716667,0.3123934583951216,0.5518461925757316,-0.2109815783215909,0.1465162336826324,-0.06792248785495758,-0.04070838168263435,-0.01539701223373413,0.03124172985553741,-0.007885396480560303,2,-0.1422240459408566,0.2518621894511395,0.1205091132229104,0.9496396675888047,0.5126352310180664,0.2094198167324066,-0.8326755166053772,61.08535385131836,6.213272094726562,-12.50138854980469,-1,2
1616156991.941748,10,12118.15764416667,0.5323028564453125,0.2728424072265625,-0.8450164794921875,12118.15263616667,0.2159850299358368,-0.03884353488683701,-0.18453548848629,12118.11415316667,61.97514343261719,144.7525787353516,-228.9377136230469,12118.14961816667,0.3106328397613266,0.5509374985221824,-0.2098549807910192,0.1909870356321335,-0.06375490874052048,-0.1591769754886627,0.01575422286987305,0.06249484419822693,-0.01570332050323486,2,-0.1414178096567741,0.2516550465093563,0.119896938568442,0.9498923945313746,0.5120015740394592,0.2083180695772171,-0.8333414793014526,61.08535385131836,6.213272094726562,-12.50138854980469,-1,2
